engine_id,max_cycle,total_rul,final_health,min_health,mean_health,primary_regime,failure_stage
46,256,255,0.4695,0.4262,0.511821484375,mid_lo,Critical
47,214,213,0.4509,0.4463,0.5135411214953272,mid_lo,Critical
48,231,230,0.524,0.4579,0.5188580086580087,mid_lo,Critical
49,215,214,0.4477,0.4132,0.4948632558139535,mid_lo,Critical
50,198,197,0.4934,0.413,0.4998222222222222,mid_lo,Critical
51,213,212,0.4917,0.4477,0.5213967136150235,mid_lo,Critical
52,213,212,0.4308,0.4051,0.4976638497652582,mid_lo,Critical
53,195,194,0.4406,0.4406,0.5058179487179487,mid_lo,Critical
54,257,256,0.4396,0.4396,0.5178743190661479,mid_lo,Critical
55,193,192,0.4954,0.4399,0.5044730569948186,mid_lo,Critical
56,275,274,0.4405,0.4177,0.49281309090909087,mid_lo,Critical
57,137,136,0.3913,0.3913,0.5024992700729927,mid_lo,Critical
58,147,146,0.4413,0.4338,0.5076108843537416,mid_lo,Critical
59,231,230,0.4347,0.4171,0.5163887445887446,mid_lo,Critical
60,172,171,0.4624,0.4264,0.4993308139534884,mid_lo,Critical
61,185,184,0.445,0.425,0.5181681081081081,mid_lo,Critical
62,180,179,0.4317,0.4129,0.48748833333333336,mid_hi,Critical
63,174,173,0.4726,0.4446,0.5024758620689656,mid_hi,Critical
64,283,282,0.468,0.4209,0.5001325088339222,mid_lo,Critical
65,153,152,0.458,0.4433,0.5149150326797386,mid_hi,Critical
66,202,201,0.4587,0.4161,0.48893910891089104,mid_lo,Critical
67,313,312,0.4489,0.4121,0.5034159744408946,mid_lo,Critical
68,199,198,0.4666,0.4378,0.4989381909547739,mid_lo,Critical
69,362,361,0.4341,0.4127,0.5044325966850829,mid_lo,Critical
70,137,136,0.464,0.4238,0.4979043795620438,mid_lo,Critical
71,208,207,0.4663,0.4218,0.497975,mid_lo,Critical
72,213,212,0.4379,0.4379,0.5061164319248826,mid_lo,Critical
73,213,212,0.4401,0.4092,0.4871760563380282,mid_lo,Critical
74,166,165,0.4695,0.4067,0.5078156626506024,mid_lo,Critical
75,229,228,0.4472,0.42,0.4955903930131004,mid_lo,Critical
76,210,209,0.4526,0.4354,0.49138047619047615,mid_lo,Critical
77,154,153,0.4471,0.4094,0.4947733766233766,mid_lo,Critical
78,231,230,0.4155,0.4127,0.5159138528138528,mid_lo,Critical
79,199,198,0.466,0.448,0.5186065326633166,mid_lo,Critical
80,185,184,0.4597,0.4131,0.49611945945945946,mid_lo,Critical
81,240,239,0.4544,0.4176,0.5002895833333334,mid_hi,Critical
82,214,213,0.4769,0.4534,0.5206532710280374,mid_lo,Critical
83,293,292,0.4475,0.4242,0.516201023890785,mid_lo,Critical
84,267,266,0.476,0.429,0.4914168539325843,mid_lo,Critical
85,188,187,0.4736,0.4269,0.5012787234042553,mid_lo,Critical
86,278,277,0.462,0.4292,0.5007039568345323,mid_hi,Critical
87,178,177,0.4806,0.4127,0.4974174157303371,mid_lo,Critical
88,213,212,0.4531,0.4471,0.510493896713615,mid_lo,Critical
89,217,216,0.4596,0.4179,0.5091622119815669,mid_lo,Critical
90,154,153,0.4264,0.4264,0.509533116883117,mid_hi,Critical
91,135,134,0.4625,0.4245,0.4887481481481481,mid_lo,Critical
92,341,340,0.4664,0.4364,0.5048612903225806,mid_hi,Critical
93,155,154,0.4704,0.4269,0.5058012903225806,mid_hi,Critical
94,258,257,0.4221,0.4221,0.493877519379845,mid_lo,Critical
95,283,282,0.4401,0.4286,0.5159452296819788,mid_lo,Critical
96,336,335,0.4508,0.4211,0.5054869047619048,mid_hi,Critical
97,202,201,0.4872,0.4403,0.5161054455445544,mid_hi,Critical
98,156,155,0.4359,0.4241,0.5107198717948718,mid_lo,Critical
99,185,184,0.4678,0.4111,0.5102372972972973,mid_lo,Critical
100,200,199,0.4564,0.4147,0.5023340000000001,mid_lo,Critical
